,num_parent_commits,merged_from_pull,lines_added,lines_deleted,lines_total,files_total,num_unique_file_formats,combined
561,1,True,3,3,6,1,1,fail
562,2,True,5,3,8,1,1,fail
564,1,True,5,5,10,1,1,pass
565,2,True,5,3,8,1,1,fail
566,1,True,8,11,19,3,3,fail
567,1,True,23,4,27,4,2,fail
568,1,True,5,3,8,1,1,fail
569,2,True,275,419,694,14,7,fail
570,2,True,825,442,1267,20,3,fail
571,2,True,578,380,958,14,3,pass
572,2,True,219,60,279,11,2,fail
573,1,True,210,59,269,9,1,pass
574,2,True,28,42,70,2,2,fail
575,1,True,0,2,2,2,2,fail
576,1,True,16,0,16,2,1,fail
577,1,True,1,1,2,1,1,pass
578,2,True,55,9,64,7,2,fail
579,1,True,67,97,164,2,2,fail
580,1,True,9,1,10,2,2,pass
581,1,True,0,1,1,1,1,fail
582,1,True,0,18,18,1,1,fail
583,1,True,5,2,7,2,1,fail
584,1,True,36,20,56,2,2,fail
585,2,True,280,123,403,13,4,fail
586,1,True,19,47,66,2,1,fail
587,1,True,6,10,16,1,1,fail
588,2,True,19,8,27,2,1,pass
589,1,True,12,8,20,2,1,pass
590,1,True,5,1,6,2,2,fail
591,1,True,15,70,85,1,1,pass
592,2,True,27,0,27,3,2,pass
593,1,True,13,6,19,1,1,pass
594,2,True,229,108,337,11,3,pass
595,1,True,1,1,2,1,1,pass
597,2,True,19,0,19,2,1,pass
598,1,True,1,0,1,1,1,fail
599,2,True,59,35,94,5,2,fail
600,2,True,57,36,93,5,2,pass
601,2,True,3,3,6,1,1,fail
602,1,True,3,3,6,1,1,pass
603,1,True,0,0,0,1,1,pass
604,1,True,0,3,3,2,2,fail
605,1,True,1,9,10,4,2,fail
606,1,True,0,2,2,1,1,fail
607,1,True,2,1,3,2,1,fail
608,1,True,1,0,1,1,1,fail
609,1,True,2,2,4,1,1,fail
610,2,True,123,43,166,4,2,fail
614,2,True,123,43,166,4,2,fail
615,1,True,1,1,2,1,1,fail
616,1,True,108,305,413,7,2,fail
617,1,True,1,1,2,1,1,pass
618,1,True,1,1,2,1,1,pass
619,1,True,1,0,1,1,1,pass
620,1,True,1,1,2,1,1,pass
621,1,True,6,9,15,3,2,fail
622,1,True,1,2,3,1,1,fail
625,1,True,0,48,48,1,1,fail
626,1,True,32,21,53,3,2,fail
627,1,True,1,1,2,1,1,pass
628,1,True,56,22,78,4,2,pass
629,1,True,67,20,87,3,1,pass
630,1,True,1,0,1,1,1,fail
631,2,True,424,175,599,15,5,fail
632,1,True,47,161,208,7,4,fail
633,1,True,23,3,26,5,2,pass
634,1,True,5,0,5,1,1,pass
635,1,True,5,1,6,2,2,pass
637,2,True,17,27,44,3,2,fail
638,1,True,1,1,2,1,1,pass
639,1,True,10,23,33,3,2,fail
640,1,True,16,13,29,1,1,fail
641,1,True,1,1,2,1,1,fail
642,1,True,1,4,5,1,1,fail
643,1,True,146,3,149,3,3,fail
644,1,True,1,1,2,1,1,fail
645,2,True,552,147,699,16,5,fail
646,1,True,1,0,1,1,1,fail
647,1,True,3,2,5,1,1,pass
648,1,True,2,3,5,2,1,pass
649,2,True,178,84,262,10,3,fail
650,2,True,179,85,264,10,3,pass
651,1,True,8,8,16,2,1,pass
652,2,True,379,63,442,10,3,fail
653,2,True,214,77,291,5,2,fail
654,2,True,192,54,246,3,2,pass
655,1,True,1,0,1,1,1,pass
656,1,True,4,10,14,1,1,fail
657,1,True,9,15,24,1,1,pass
658,1,True,2,3,5,1,1,fail
659,1,True,19,104,123,7,2,fail
660,1,True,147,0,147,2,2,pass
661,1,True,2,2,4,1,1,pass
662,1,True,2,2,4,1,1,pass
666,2,True,13,8,21,2,1,pass
667,1,True,1,1,2,1,1,pass
668,1,True,158,77,235,8,2,fail
669,1,True,19,6,25,3,3,fail
670,1,True,2,3,5,1,1,pass
671,1,True,5,1,6,1,1,pass
674,1,True,0,3,3,1,1,pass
675,1,True,3,0,3,1,1,fail
676,1,True,2,2,4,1,1,fail
677,1,True,0,1,1,1,1,fail
679,2,True,28,13,41,4,3,pass
680,1,True,0,3,3,1,1,pass
681,1,True,5,5,10,1,1,pass
682,1,True,18,16,34,1,1,pass
685,1,True,11,19,30,1,1,pass
686,1,True,2,1,3,1,1,pass
687,1,True,1,0,1,1,1,pass
688,1,True,6,0,6,1,1,pass
689,1,True,9,10,19,2,1,pass
690,1,True,12,4,16,2,2,pass
691,1,True,10,21,31,2,1,pass
692,1,True,22,8,30,2,1,pass
693,1,True,7,7,14,1,1,pass
